,condition,odometer,mmr,sellingprice,income,using_time,difference,selling_year,make,body
535106,2.9,54334.0,10850,9900,82150,2,-950,2015,Chevrolet,Sedan
143807,4.1,28942.0,12600,11800,73100,3,-800,2015,Nissan,Sedan
479733,3.3,29830.0,12300,11600,73130,3,-700,2015,Nissan,Sedan
200661,3.9,37826.0,15150,15200,67090,3,50,2015,Ford,SUV
478575,2.0,25457.0,11400,10200,73130,3,-1200,2015,Chevrolet,Sedan
81204,1.2,128560.0,1900,1700,68360,10,-200,2015,Ford,Sedan
478903,4.8,35667.0,19100,19600,73130,1,500,2015,Ford,Sedan
29292,4.7,27978.0,15300,15700,77030,2,400,2015,Ford,SUV
526154,3.6,10719.0,15600,14500,70210,3,-1100,2015,Ford,Sedan
415316,3.7,56477.0,11700,11600,61450,2,-100,2015,Chevrolet,Sedan
130194,4.5,21844.0,16000,14900,73100,1,-1100,2015,Chevrolet,SUV
170950,4.6,20336.0,11300,12100,73100,2,800,2015,Nissan,Sedan
448062,3.7,54161.0,13200,13800,56120,2,600,2015,Ford,Sedan
29668,1.9,58802.0,9650,9100,77030,3,-550,2015,Chevrolet,Sedan
57064,2.6,41140.0,9175,8100,77030,3,-1075,2015,Nissan,Sedan
218284,2.7,18067.0,15600,15000,57290,3,-600,2015,Nissan,SUV
509129,4.0,37611.0,15850,16400,71660,3,550,2014,Nissan,SUV
488496,1.9,109440.0,4675,3900,73130,8,-775,2015,Chevrolet,Sedan
304621,2.7,138949.0,5400,7000,59100,4,1600,2015,Ford,SUV
218504,4.4,33133.0,21600,20400,57290,1,-1200,2015,Ford,SUV
534453,2.5,88339.0,5575,4500,82150,9,-1075,2015,Ford,SUV
32692,3.8,51792.0,10050,10300,77030,2,250,2015,Ford,Sedan
53644,3.9,14201.0,16950,15250,77030,1,-1700,2015,Nissan,Sedan
271941,4.4,31402.0,22900,25000,59100,2,2100,2015,Ford,SUV
516633,4.2,25560.0,35100,33800,71660,2,-1300,2015,Ford,SUV
213831,4.1,32452.0,11750,11400,57290,1,-350,2015,Ford,Sedan
187612,3.9,55654.0,9675,9700,63250,2,25,2015,Ford,Sedan
242700,4.4,109414.0,7650,8300,59100,4,650,2015,Ford,SUV
440022,3.4,72095.0,5950,6100,74430,7,150,2015,Chevrolet,Sedan
413521,4.2,24671.0,13600,13400,61450,3,-200,2015,Ford,Sedan
486919,4.0,13632.0,15300,15200,73130,1,-100,2015,Chevrolet,Sedan
512944,2.9,26967.0,13000,12800,71660,1,-200,2015,Chevrolet,Sedan
236213,2.8,24456.0,7400,7600,59100,1,200,2014,Chevrolet,Sedan
430982,3.6,51813.0,9625,9300,61450,2,-325,2015,Chevrolet,Sedan
371401,2.8,121663.0,9825,7400,64520,4,-2425,2015,Ford,SUV
283917,4.6,24602.0,22200,23000,59100,2,800,2015,Ford,SUV
157639,4.2,43887.0,21000,22500,73100,4,1500,2015,Ford,SUV
329777,2.9,149588.0,2475,1650,82750,10,-825,2015,Ford,SUV
284628,4.7,39906.0,12000,12200,59100,3,200,2015,Nissan,Sedan
335373,3.5,28447.0,23200,21100,82750,2,-2100,2015,Ford,SUV
9896,4.7,25029.0,15350,16300,77030,2,950,2015,Ford,SUV
245052,3.9,40660.0,12950,12900,59100,1,-50,2015,Chevrolet,Sedan
262333,4.8,13153.0,21700,22000,59100,1,300,2015,Ford,Sedan
240388,3.0,23782.0,13050,13200,59100,1,150,2015,Chevrolet,Sedan
216349,4.8,27275.0,17650,17800,57290,3,150,2015,Ford,SUV
280536,2.5,130774.0,5125,5600,59100,8,475,2015,Nissan,Sedan
244056,3.0,40815.0,15050,13200,59100,6,-1850,2015,Nissan,SUV
479844,4.3,32593.0,16050,17600,73130,3,1550,2015,Nissan,SUV
508142,,138290.0,3925,2900,71660,8,-1025,2014,Ford,SUV
334959,4.4,33227.0,12150,13600,82750,3,1450,2015,Nissan,Sedan
71723,2.8,116573.0,6250,7300,77030,7,1050,2015,Nissan,SUV
371033,4.1,46243.0,12600,12200,64520,2,-400,2015,Nissan,Sedan
259942,1.9,84876.0,6800,5400,59100,5,-1400,2015,Ford,Sedan
111853,2.1,88217.0,27800,26500,68360,3,-1300,2015,Chevrolet,SUV
156041,4.8,33556.0,16550,16200,73100,3,-350,2015,Nissan,Sedan
83407,1.9,196270.0,775,850,68360,18,75,2015,Chevrolet,SUV
118990,3.5,21771.0,14950,14500,68360,1,-450,2015,Nissan,Sedan
396659,3.0,7408.0,14150,14000,65610,0,-150,2015,Chevrolet,Sedan
578,3.8,26637.0,14150,14600,77030,1,450,2014,Nissan,Sedan
267185,4.2,5418.0,13100,13000,59100,1,-100,2015,Nissan,Sedan
207571,4.6,12146.0,32200,19200,57290,1,-13000,2015,Nissan,SUV
270639,4.1,32888.0,18950,19800,59100,1,850,2015,Ford,Sedan
109345,3.8,24125.0,11200,11000,68360,2,-200,2015,Nissan,Sedan
398435,,115239.0,3550,6000,61450,9,2450,2014,Ford,SUV
512914,2.9,164013.0,3100,2800,71660,9,-300,2015,Nissan,Sedan
104543,2.0,47622.0,14800,12200,68360,2,-2600,2015,Nissan,Sedan
471312,4.4,40126.0,13100,14500,62930,4,1400,2015,Nissan,SUV
262894,3.9,63179.0,16400,16000,59100,2,-400,2015,Nissan,SUV
61458,2.7,165260.0,3700,2500,77030,14,-1200,2015,Chevrolet,SUV
170616,3.5,33073.0,13550,13200,73100,2,-350,2015,Nissan,Sedan
66110,3.9,41794.0,14500,13700,77030,2,-800,2015,Ford,SUV
183517,3.2,61041.0,9400,9200,63250,2,-200,2014,Chevrolet,Sedan
510781,4.2,42476.0,28000,28000,71660,1,0,2015,Ford,SUV
102085,3.3,29047.0,21000,21500,68360,1,500,2015,Ford,SUV
315194,3.2,50954.0,6600,6400,59100,5,-200,2015,Nissan,Sedan
303119,4.2,26143.0,10200,10100,59100,3,-100,2015,Nissan,Sedan
310354,3.8,67706.0,7975,6200,59100,3,-1775,2015,Nissan,Sedan
3423,4.2,67455.0,6250,8100,77030,7,1850,2014,Ford,SUV
76901,4.1,25471.0,18350,17500,68360,1,-850,2014,Ford,Sedan
