,condition,odometer,mmr,sellingprice,using_time
279783,3.9,148757.0,5875,6500,6
335794,4.2,32553.0,16750,17000,1
414607,3.6,145757.0,2500,3400,10
192651,2.6,91060.0,5725,6200,11
111167,2.7,45682.0,16300,16000,1
342072,2.4,88487.0,5000,5800,8
163574,3.7,85976.0,9850,10500,8
142875,2.7,66850.0,6250,7500,9
486552,2.0,116586.0,5500,4100,6
399072,2.4,62623.0,9000,10600,2
539129,2.1,141080.0,3800,4200,10
366009,4.1,30959.0,13650,14500,3
535401,1.9,114378.0,3925,3300,11
261096,5.0,3190.0,31500,36400,1
106731,4.2,55060.0,16150,15000,2
180042,4.3,51471.0,23500,22700,1
354382,4.4,20387.0,25500,27000,2
10002,1.0,38521.0,11350,8500,1
85441,2.0,171490.0,2825,3800,10
226474,3.5,195393.0,8300,8100,5
542264,3.3,117756.0,5100,6100,11
239645,2.6,48681.0,11300,10100,2
86554,4.7,38343.0,19450,21100,6
426737,3.5,45775.0,4825,7000,12
39030,4.9,11843.0,13500,13800,1
280563,2.0,128807.0,2125,1900,9
525426,2.9,113854.0,9775,6200,10
19775,4.9,4841.0,12700,14750,1
351453,3.4,27874.0,15850,16400,1
408978,5.0,11308.0,21300,20500,0
432095,3.7,72072.0,13700,13900,7
164350,4.7,6402.0,18300,17600,1
67754,2.9,57309.0,9675,10900,5
157199,3.0,82782.0,2750,1300,12
371773,4.3,14313.0,13350,12300,3
296249,3.9,71100.0,6650,7800,5
462396,2.7,191951.0,4325,4600,12
70221,3.4,4269.0,11600,11750,1
203022,4.4,16820.0,16550,18000,2
296207,3.1,82618.0,6775,6600,4
149160,4.6,37908.0,40400,44200,3
477176,2.5,3613.0,19400,15600,3
343932,2.7,35423.0,11000,10100,3
90988,4.1,44951.0,6625,6700,5
135715,4.2,38553.0,28100,27500,3
356654,2.7,81453.0,7900,7500,4
206925,5.0,33999.0,27900,29600,2
272299,3.2,54568.0,12400,12100,3
325022,3.7,34961.0,21100,20800,4
464176,2.4,243070.0,800,1000,12
475739,1.0,96261.0,5050,1400,9
102922,4.2,46852.0,20600,20500,5
546985,4.0,63099.0,27200,27200,3
85753,3.4,69286.0,18900,18500,3
540543,1.9,106226.0,3725,1600,6
119405,,24107.0,18100,18800,3
270327,4.4,16734.0,12500,12800,4
453924,3.5,97315.0,3525,4800,6
