,condition,odometer,mmr,sellingprice,using_time
106076,3.8,55312.0,18800,18600,2
320114,3.6,50200.0,9075,9000,3
13388,3.8,63054.0,13100,12700,1
46272,2.0,94615.0,4575,2700,9
516417,4.0,40494.0,13250,13100,2
170544,3.5,23210.0,29300,27500,2
496843,3.3,32641.0,21000,19400,3
84681,3.8,119546.0,4750,6500,5
208116,4.6,49666.0,27100,27300,1
323127,2.2,113029.0,6350,5700,3
410106,1.9,159705.0,2125,1900,9
183372,3.3,50776.0,15400,14000,1
414362,4.4,23335.0,14700,15500,2
538201,4.4,121853.0,17150,18300,6
280781,2.5,128987.0,2175,3100,13
49378,4.4,15227.0,24200,24750,2
74583,,107370.0,5325,6300,9
368084,3.9,27241.0,26000,27500,3
257429,5.0,10579.0,19250,17200,0
245289,2.5,87757.0,9825,11100,5
532469,3.4,138777.0,1325,550,13
14589,2.1,118962.0,7675,6400,7
204123,2.7,53906.0,17500,15400,4
271247,3.7,144950.0,8575,8400,2
546111,3.7,90526.0,7150,8100,9
197820,2.4,47137.0,15000,14300,2
521774,2.9,16429.0,53600,53000,0
253352,4.8,13.0,17400,18900,1
90597,3.5,53615.0,11050,11500,3
178081,3.8,124742.0,8150,9500,7
127206,4.0,33175.0,18500,13500,1
236742,2.8,26639.0,13550,13400,3
472777,1.9,124998.0,5850,4600,7
100799,4.8,19126.0,47500,49500,4
239165,4.4,10592.0,20900,21100,1
83230,2.4,145995.0,8025,6900,8
279388,3.5,24985.0,11950,11000,2
355950,3.9,49279.0,22200,23750,4
437686,3.5,102853.0,4675,5000,10
548258,4.3,13337.0,20200,19700,2
93040,4.6,45803.0,10250,10400,2
19282,3.4,84516.0,12700,12800,6
217244,4.2,36778.0,22400,23500,3
243814,4.3,50211.0,15250,15600,4
93774,1.9,144302.0,2575,2900,14
342965,2.3,183340.0,2600,1600,9
133986,3.8,25313.0,12550,11600,3
127953,3.9,53483.0,7825,8400,5
281576,4.3,49090.0,17150,17800,4
448718,2.3,104746.0,5125,3200,4
287077,3.4,45010.0,7100,7900,2
103163,3.9,42132.0,18100,17800,1
102560,3.5,107300.0,3900,4800,7
458192,5.0,96011.0,8500,12600,7
346345,3.2,99822.0,5425,4500,6
24021,4.5,32642.0,18550,18800,1
377115,3.8,33408.0,28100,26250,3
52400,2.7,111336.0,7450,8500,11
97478,2.9,54616.0,12900,13100,2
190492,2.5,31197.0,16150,14300,3
284002,4.4,36651.0,10100,10600,4
364667,4.9,19308.0,28900,28900,1
337093,2.9,45453.0,15350,14600,3
388005,4.9,66513.0,18650,20000,5
494471,4.0,17928.0,19500,19500,0
232655,5.0,31100.0,19650,18800,2
183944,3.5,57627.0,10200,10000,2
314328,3.2,100697.0,1300,2000,8
74127,,114298.0,5150,4500,7
184237,3.5,65606.0,23900,20700,4
208063,2.5,105715.0,6525,6000,5
409866,3.5,79005.0,10400,10900,4
135869,4.0,118309.0,8150,9300,7
22830,4.6,6860.0,24200,23800,0
179237,3.3,37222.0,41400,38900,2
71854,2.8,273261.0,1325,3300,11
210794,4.8,7067.0,30900,30000,2
432290,2.0,15928.0,15150,9000,0
72718,3.5,133646.0,3100,3100,9
173029,3.0,14896.0,13000,12500,1
473135,2.8,92548.0,9850,7500,4
19215,4.1,43606.0,13900,14000,4
192566,2.3,64896.0,15700,16400,4
266645,2.7,96466.0,6125,4500,6
198494,1.9,97561.0,5925,4700,8
378706,3.8,41799.0,9875,9000,3
392899,3.4,91050.0,21900,19400,3
299860,4.2,15212.0,28400,28900,2
222941,3.5,79624.0,6200,6900,5
334322,1.9,203024.0,3475,3400,12
137404,2.6,29009.0,15500,13200,3
123927,4.2,40926.0,12200,11800,2
414132,2.1,81618.0,12100,10500,4
194709,3.5,75037.0,4050,4800,8
527775,3.6,123601.0,10750,8200,8
240250,3.5,128177.0,8175,8100,6
58198,3.8,47003.0,33200,33750,2
327927,4.6,32912.0,18200,18400,3
384857,4.5,95401.0,18750,18300,3
248943,3.7,33052.0,27300,25800,4
467960,3.7,45956.0,9775,10700,2
533092,3.6,126940.0,7950,7200,6
62636,1.9,111392.0,8450,6400,8
258767,4.5,45678.0,15100,17200,3
343085,3.8,19600.0,21600,22000,2
510515,4.9,33678.0,13000,13400,4
65385,4.2,17238.0,11600,11900,2
510485,4.2,33064.0,12150,11500,3
258541,4.9,20160.0,12800,12800,3
86228,3.4,18862.0,7425,8000,5
233901,2.6,178961.0,2525,4300,6
314300,2.9,28325.0,74000,64600,7
328872,4.1,16124.0,33100,37750,2
481041,4.5,25975.0,12750,13000,3
481289,4.8,9398.0,16950,16800,1
212490,1.9,94305.0,15800,12900,8
311725,2.1,135363.0,12950,8700,2
123905,4.4,60571.0,9500,9000,2
32667,4.2,14154.0,8200,9750,2
220063,4.8,19362.0,16600,17700,0
191646,3.4,52427.0,31800,30250,3
388983,2.7,88140.0,4425,3600,11
509669,1.9,182631.0,4475,4600,10
86913,4.8,49936.0,28100,34000,2
5682,4.9,10899.0,22500,23500,0
3228,3.7,93498.0,4125,4000,6
276582,4.0,12563.0,13850,13900,1
342155,2.6,33308.0,27900,26500,4
94199,4.9,26884.0,17100,18100,3
416599,2.8,231972.0,2700,4100,14
548617,2.9,109686.0,13250,14300,5
59515,2.7,42479.0,17350,17250,4
495066,4.0,17029.0,26900,24600,1
96488,4.1,40404.0,29300,31200,1
416731,3.5,83650.0,19600,19600,7
333135,2.8,28764.0,18700,17000,2
212749,4.1,31303.0,21600,21800,1
88914,2.5,35957.0,11450,11200,1
78642,1.9,118974.0,3800,2500,4
4105,1.9,129281.0,3475,3000,9
300866,2.1,9256.0,17450,16800,1
168794,3.5,27972.0,10300,10900,3
207879,4.2,54549.0,31200,32500,4
494396,4.2,53587.0,32500,33000,3
186309,4.0,95354.0,10250,9900,5
88701,4.2,45018.0,10700,11200,4
321666,3.4,29758.0,13400,13400,2
100205,3.8,95355.0,8900,7700,9
305018,4.2,24473.0,29600,29200,2
495217,2.7,120318.0,3625,2700,11
510272,4.4,70270.0,9800,10300,6
189137,4.3,25022.0,51300,51400,0
260027,2.6,141576.0,5700,4200,9
379661,3.6,122640.0,1600,2600,11
23727,4.5,16088.0,73000,69500,4
410823,4.1,59682.0,9650,10100,2
483999,4.1,55311.0,8775,9100,3
5074,,204350.0,1200,1200,14
60338,4.2,19407.0,15800,15200,3
150349,3.1,18320.0,13550,13200,3
226009,2.9,95494.0,9800,8500,7
264054,2.9,66020.0,10350,10000,4
448071,3.5,116651.0,5700,5200,8
414901,2.4,176261.0,1025,700,9
137325,4.3,97469.0,2500,3500,10
523212,3.2,35690.0,13500,13000,2
383627,2.8,60762.0,10000,8901,3
317975,3.1,74548.0,31900,29400,3
116132,4.1,41493.0,31900,29800,4
492418,3.7,27726.0,12450,10900,2
188042,2.9,70598.0,5400,6700,6
111916,3.9,133482.0,6875,6300,9
333044,2.8,75835.0,10350,10400,6
549474,1.9,52576.0,7325,2800,9
543834,3.7,137948.0,8525,11300,12
173557,,134912.0,2750,3400,11
503153,3.0,9352.0,14150,14100,1
428620,2.6,241449.0,2075,2000,10
317201,2.0,166539.0,5175,1100,13
124947,4.9,3123.0,19350,20600,1
132397,4.9,46784.0,15950,16200,3
489335,4.3,34869.0,12400,13900,3
44067,3.2,53237.0,17350,17400,3
324229,4.0,42234.0,30800,31200,2
210540,5.0,14500.0,35200,36300,1
440360,3.9,65631.0,19100,19900,5
390073,4.4,59038.0,11750,11400,2
433194,2.0,203.0,4600,800,10
532933,2.9,18234.0,15000,15400,4
183451,3.4,39462.0,12850,12600,1
200083,3.5,35550.0,12500,12600,1
13368,5.0,6972.0,15850,16600,1
145709,4.0,14.0,33400,35700,0
249457,4.0,22134.0,15650,15100,1
305441,3.7,50904.0,4075,5700,12
516778,4.2,78594.0,14250,15400,5
149723,3.1,156944.0,14700,13600,6
71689,3.2,87910.0,11650,10600,6
47793,4.3,35184.0,27500,27000,3
19079,2.2,40305.0,13850,11250,3
325823,2.8,100106.0,6425,5700,6
306564,3.5,16227.0,27500,22500,2
377615,4.4,13882.0,29800,27000,1
171545,2.2,21669.0,11350,9600,3
50168,1.0,123782.0,1325,800,19
426175,1.9,95009.0,1200,2200,12
10186,3.4,61292.0,31500,30000,2
88008,4.7,12596.0,15000,16100,1
369741,4.3,29333.0,19350,19200,3
447918,1.9,96787.0,6775,6500,4
472895,4.3,12616.0,12350,13100,1
132400,3.7,44506.0,10400,10400,3
133826,3.5,22187.0,14350,13800,2
179938,3.6,18339.0,16100,15900,1
361147,3.2,74035.0,8575,9200,6
413368,2.1,160134.0,7700,7800,7
362406,4.3,5534.0,19300,18500,0
193585,4.8,15310.0,20800,20800,0
317852,3.0,24749.0,11900,10400,1
280390,4.0,22066.0,18200,17600,1
193189,1.9,129540.0,4000,2000,7
132349,4.7,39885.0,23000,23400,3
294934,4.0,52680.0,41000,39600,3
142159,4.4,109146.0,10150,11100,3
63146,3.5,65093.0,10050,10000,3
101394,3.5,50387.0,7825,8100,3
382557,1.9,83774.0,5875,4200,7
545424,3.8,37230.0,18050,18000,1
348906,3.7,13371.0,12550,12900,0
148103,3.1,12595.0,14550,14100,3
24772,4.3,75172.0,8100,9600,3
546467,4.1,134543.0,11300,13100,7
449544,2.0,198399.0,500,250,20
372287,4.6,44128.0,9800,11000,4
163177,3.5,32344.0,10800,11000,3
68707,3.6,160279.0,2950,3400,13
455602,2.8,12530.0,26100,21000,2
75683,,36025.0,20300,20000,2
325833,3.1,105668.0,8450,6500,6
44926,4.1,82770.0,13650,16200,5
486206,3.9,54955.0,9000,9400,3
380384,4.6,24193.0,22600,22000,2
364921,4.7,1983.0,27300,28000,2
150099,3.4,54506.0,10150,9700,3
289396,2.5,113800.0,9225,8500,7
405422,2.9,247169.0,675,800,14
426419,2.9,149515.0,3000,3600,12
168502,2.8,35580.0,8200,6900,3
508523,3.5,102099.0,5850,6000,11
523634,4.5,28547.0,13000,13900,2
286675,4.0,86791.0,5250,6100,4
429660,3.3,154695.0,5600,6000,11
267868,1.9,166730.0,5525,5900,6
450212,2.5,72991.0,7625,6600,3
117236,1.9,125619.0,1775,1200,10
195103,3.2,94478.0,11400,12100,7
326081,3.1,102068.0,1800,2200,12
107673,4.2,31914.0,13150,14200,1
51075,2.9,53584.0,14400,16500,6
329417,3.4,126773.0,9875,10800,7
379881,2.5,55064.0,12550,11900,3
368439,2.6,94152.0,5575,5400,5
277998,2.7,163855.0,2025,2550,11
272401,1.9,19289.0,11750,9600,3
113369,2.8,44713.0,10950,9000,3
278416,4.2,156780.0,18650,17400,3
505234,3.5,9321.0,25000,25000,3
338579,2.8,63954.0,12900,13800,7
270524,3.3,131829.0,3425,3400,9
101957,1.9,151666.0,800,700,15
353735,3.9,42640.0,10450,11000,2
34386,2.7,103508.0,3900,3100,10
483881,3.8,52480.0,9975,9800,2
331534,4.0,19394.0,22500,22750,2
240230,4.0,25015.0,19450,20500,1
160406,3.8,81762.0,9475,10900,5
521460,3.9,91737.0,10600,12300,7
275022,3.8,65788.0,20700,20600,3
525542,2.0,52905.0,26600,21500,4
496226,2.5,30946.0,9775,9200,3
474440,3.5,35394.0,15800,16350,1
502852,1.9,458419.0,8475,3000,5
49968,1.9,116371.0,2500,2000,10
353023,2.0,113819.0,1350,400,18
337451,4.2,32765.0,15750,15500,2
171203,3.5,38349.0,9800,9800,3
79688,3.9,56680.0,10450,11600,3
84177,3.5,46765.0,16700,17300,5
9167,2.8,101127.0,5275,6100,7
392424,3.0,21248.0,13350,12500,1
514372,4.3,92888.0,5925,7000,9
146086,4.8,32708.0,11300,12300,3
352948,5.0,13330.0,14350,14900,1
334682,4.4,23342.0,29200,26900,2
525762,5.0,4206.0,20700,19100,3
322707,3.5,16458.0,21200,21100,1
181366,2.4,79916.0,6100,7900,4
218643,3.5,10998.0,32100,28500,1
530205,3.5,71091.0,8975,10100,7
105256,4.5,19345.0,20300,18800,1
389878,4.4,15594.0,14150,15100,1
110511,2.2,97337.0,4625,4600,6
181681,4.0,28356.0,18650,19600,1
379002,2.0,6077.0,14850,8000,1
396724,4.9,10225.0,13850,14100,2
218396,3.7,46141.0,11550,11200,2
194229,2.4,158063.0,1850,1500,10
381254,4.1,21957.0,11300,11600,2
136290,3.7,27452.0,23400,21100,3
456277,3.8,83567.0,2950,3800,13
468751,2.4,134542.0,13600,13900,8
309051,4.6,25679.0,12500,13700,3
306265,4.6,14793.0,20900,19800,1
406246,4.3,37391.0,11800,11200,3
136436,2.9,48743.0,10000,9200,4
536974,2.0,180930.0,2575,1000,17
211429,1.0,165736.0,450,350,18
41723,4.4,145872.0,5600,6200,9
144650,3.7,67395.0,18850,18000,5
428721,2.2,34979.0,12700,12000,3
106176,4.5,66900.0,12350,12000,3
397040,2.9,47710.0,15750,16100,8
375091,4.4,67219.0,23300,23500,6
217137,3.5,95853.0,7925,8000,5
520629,4.5,31567.0,32500,32000,3
136943,3.8,106954.0,3725,4400,7
294850,3.6,22307.0,14650,14000,3
181889,3.1,36035.0,11150,11000,3
12215,1.0,120293.0,725,1450,12
15290,2.9,217678.0,3825,3500,9
410174,2.0,253194.0,400,550,20
242499,4.0,20364.0,16850,16000,1
238627,4.4,31967.0,20000,21100,1
148549,2.8,72012.0,2175,1900,15
231659,1.9,54780.0,12400,11900,2
521538,4.2,37652.0,30400,30400,1
135376,1.9,153421.0,600,1000,13
236105,4.9,20110.0,26700,25400,1
58321,4.2,32512.0,8775,9200,2
479282,4.2,25687.0,12550,12600,3
132175,2.3,90171.0,13800,10200,10
408033,5.0,26918.0,23000,23400,3
373243,4.4,23703.0,12100,12300,2
398453,,145989.0,3550,4200,9
96952,4.4,41173.0,27000,27700,3
284946,4.6,72190.0,6650,6900,5
476732,1.9,28410.0,9975,4400,2
410948,3.2,68958.0,15200,14100,3
344474,3.7,31143.0,26500,25400,2
396755,3.1,45940.0,10200,10400,2
418160,2.6,115194.0,8675,7200,3
403905,1.9,151422.0,3400,3700,11
65373,3.0,19736.0,16700,16400,0
503726,3.3,40167.0,11450,11800,2
229992,1.9,109629.0,1075,700,17
88027,5.0,23666.0,18200,19200,1
36004,3.4,33896.0,22300,22100,2
186527,2.9,113705.0,8900,8000,4
240491,2.4,45221.0,10450,9700,6
335099,4.1,53041.0,15300,16200,4
156123,3.3,44811.0,11550,10000,2
480863,4.0,75585.0,7750,8100,4
503666,3.0,74148.0,39000,34000,3
535352,3.4,115572.0,9125,8800,8
58527,4.0,17982.0,16550,16500,1
64530,4.3,39418.0,11000,11300,4
441765,2.1,17250.0,16600,16400,2
426213,2.0,1.0,1475,300,17
211398,2.5,102748.0,5075,4600,7
391778,2.9,68027.0,11550,11000,8
107008,3.7,34782.0,12700,12700,1
292865,1.9,128295.0,1800,550,13
90605,3.7,35587.0,22000,24000,3
141335,2.7,90486.0,3450,3100,12
405902,4.4,63299.0,8175,9100,5
140836,2.8,34046.0,12000,11900,3
278024,1.0,120425.0,2025,700,12
300511,4.9,8079.0,20300,21300,2
44244,2.3,113778.0,4150,5100,6
177595,4.5,29458.0,11650,11800,2
89486,2.5,17149.0,7325,6100,6
309539,3.4,20242.0,11450,9600,2
428012,1.9,170417.0,2000,1300,10
511721,1.0,137523.0,5325,1800,7
640,,22654.0,23000,22800,1
323277,2.8,32200.0,16650,15700,3
487117,3.4,37443.0,20700,18600,3
93364,3.8,39714.0,29000,30700,3
514134,2.9,76558.0,7300,5900,6
155950,1.9,116915.0,2750,2900,13
326592,3.9,32193.0,27500,26750,2
486334,3.9,93044.0,8450,8500,7
37426,4.1,46994.0,10950,11400,2
14533,5.0,11007.0,23600,23500,2
276162,2.9,79356.0,9300,9700,3
183529,2.8,92279.0,15450,14800,2
328642,4.1,18056.0,17900,18700,4
367403,4.4,63036.0,31500,30750,4
319907,3.3,9191.0,22800,21000,2
42732,4.8,42668.0,10200,12350,8
306169,2.8,111637.0,8275,8900,8
482371,4.4,18973.0,14250,13800,1
3178,1.9,85074.0,6150,6500,6
410276,3.4,184683.0,4675,4600,9
68905,3.5,24115.0,41000,42500,3
207054,4.3,41893.0,12100,12600,3
88938,4.2,20409.0,17500,16700,2
261647,3.7,102455.0,7350,5900,5
257851,3.6,40340.0,12850,12650,3
276478,3.3,56134.0,17800,18000,4
32993,3.6,17949.0,12250,15000,2
149045,2.9,92336.0,4075,4700,12
170513,2.3,55140.0,8225,7200,2
463291,3.3,68335.0,11200,11400,4
372264,2.1,134080.0,5525,3800,4
143969,2.6,121249.0,14350,12300,8
288460,3.9,17683.0,13850,15000,2
475740,2.8,184421.0,8675,6300,9
267060,2.8,167882.0,1500,3500,14
366910,3.1,31276.0,28300,27750,4
161016,3.6,25076.0,18800,17600,3
52833,3.4,97832.0,7750,10000,7
323221,3.6,53339.0,11100,11900,3
406439,3.9,12353.0,18200,21500,2
104244,2.7,78938.0,7125,8000,7
540113,4.6,94101.0,7725,8400,6
66799,4.4,20108.0,18650,22250,4
103696,2.1,159404.0,4525,4900,9
19304,1.9,122861.0,4250,5500,6
360730,2.6,117888.0,5975,6600,7
529378,3.9,8524.0,19300,18800,1
510906,4.7,28550.0,19200,19900,1
159955,2.4,55123.0,20000,20000,3
116781,3.3,46887.0,10100,9500,3
179934,3.7,14780.0,15250,15200,1
337383,2.7,155280.0,1825,1900,9
59189,4.7,29981.0,40400,42500,3
425460,4.1,11220.0,95000,85000,2
235181,2.8,87778.0,4775,4800,11
301696,3.0,168105.0,5475,6500,7
227891,2.7,51850.0,8300,10500,3
134377,1.9,61953.0,10700,9400,3
225713,2.3,113645.0,7175,6500,8
92963,3.3,70353.0,19850,15000,2
318059,3.9,64586.0,6300,8600,8
390640,4.7,60020.0,24800,24700,4
192428,2.9,69722.0,16350,17000,7
73261,4.8,45832.0,23900,28300,3
528593,4.9,23552.0,17100,18700,3
392108,2.7,147223.0,19500,17100,9
201394,4.7,37074.0,15150,13800,0
436441,3.0,111880.0,16400,17000,10
390095,4.7,27945.0,26200,27600,2
170880,4.2,27619.0,10950,11100,2
76189,,55681.0,42600,39600,2
312988,2.6,160075.0,6050,5800,9
353434,1.9,142353.0,5950,5200,9
411233,3.5,60690.0,13400,13801,2
308215,3.6,28365.0,10900,11000,2
106633,4.5,31776.0,14400,14600,1
241637,3.9,16424.0,14950,14300,3
111187,4.2,28833.0,10200,10000,1
255020,3.8,71521.0,7700,7900,4
346551,3.8,18968.0,17450,15000,1
209563,3.5,53740.0,10950,10800,2
76644,2.6,109882.0,4025,2700,9
25136,1.9,99325.0,2050,4000,12
496274,2.2,40360.0,15350,14300,3
115262,3.5,129600.0,1875,1900,13
430333,2.9,51295.0,18150,16400,4
344790,2.6,62695.0,11350,11600,3
265282,4.0,21440.0,12400,11200,1
329487,3.2,178242.0,5575,6300,10
197182,1.9,107192.0,4075,3500,7
90533,4.4,31887.0,14600,14800,3
466285,4.6,36882.0,15200,13500,1
403559,3.5,18785.0,27300,27500,2
523602,3.6,36179.0,13000,13000,2
146614,4.1,58774.0,26900,25500,3
230442,4.3,43141.0,13700,14700,2
448109,3.5,70065.0,9550,9600,4
175338,4.3,93222.0,4850,6100,7
246608,3.7,36749.0,30300,28500,7
68543,4.3,56219.0,12250,12601,2
498423,1.9,121906.0,5125,3600,9
61590,2.8,27284.0,27100,26000,3
257396,4.4,6951.0,15900,15900,1
166780,4.2,40528.0,40200,41800,2
134806,4.3,20595.0,12950,13800,3
193798,1.9,47261.0,26500,27200,3
99579,4.1,23416.0,21700,22700,1
509966,3.4,5691.0,14350,14500,1
548777,2.8,79191.0,7975,8600,2
291362,3.7,47373.0,12800,13400,2
179160,2.0,40160.0,17600,16400,4
164640,3.5,237333.0,4150,5400,9
114718,4.3,88855.0,20100,20500,7
232268,3.1,52730.0,14300,13700,2
76586,2.1,168282.0,2625,2500,8
269250,4.4,27387.0,29300,28800,2
306641,4.3,24955.0,10650,12400,3
170789,2.0,160747.0,1450,850,9
200377,2.8,102553.0,5200,5600,3
307950,2.1,100961.0,3450,2000,13
493537,2.0,147854.0,1850,1300,13
421372,3.7,73221.0,9350,9500,3
32727,2.5,74491.0,9225,10800,7
177381,3.0,26392.0,16950,16700,1
46482,3.7,166082.0,3250,4300,12
507984,4.6,34522.0,17900,18000,0
103012,2.4,94942.0,5225,4000,7
222001,2.2,103140.0,7875,6200,4
85774,2.8,94772.0,7600,7900,3
29179,5.0,3715.0,16400,16750,1
94362,4.8,48893.0,21900,24000,4
233269,2.9,36342.0,19950,18200,3
231648,3.4,35634.0,22500,19400,2
59100,4.4,29584.0,30800,31600,2
9722,5.0,4485.0,13650,13000,0
303668,2.8,18797.0,22300,21300,3
199895,4.2,27263.0,7725,8400,2
462294,4.1,169236.0,1550,3700,7
531138,2.1,147207.0,5900,4000,9
84314,4.3,48026.0,15500,15900,3
296809,1.9,152575.0,1775,2000,13
41628,3.4,178376.0,2950,5000,8
473217,4.2,119642.0,6600,8200,3
485403,4.8,20125.0,16200,16900,2
240022,3.5,41382.0,14100,13300,2
138675,2.6,161528.0,4825,4000,9
218167,2.4,52270.0,14950,13700,3
476411,,157636.0,375,700,19
223483,2.0,135348.0,6350,4400,5
392412,4.2,56954.0,7375,8600,4
198274,2.0,125707.0,6950,6800,3
112036,3.7,137995.0,12050,12000,8
371410,3.6,108019.0,7775,9000,4
311244,2.4,102711.0,2050,1700,14
223868,4.2,16765.0,10750,11200,4
197858,1.9,65900.0,7625,7500,4
297838,3.6,74973.0,9700,8600,5
187651,3.9,48203.0,14650,16300,3
134436,3.5,110796.0,6200,5600,7
410929,3.9,28599.0,21200,20200,3
124397,3.4,30736.0,17250,16400,4
221752,4.7,92680.0,16850,18500,7
461490,2.7,145976.0,1575,2100,18
3863,2.8,143788.0,6300,5000,8
384643,3.2,81876.0,7350,6800,5
498938,4.8,30655.0,14100,16200,3
545871,3.4,84551.0,10300,8700,6
415753,2.1,199677.0,1825,3300,13
125939,4.2,14991.0,26700,24500,3
370378,4.1,31519.0,18950,17400,3
254558,1.9,167879.0,1375,700,16
490195,4.2,18345.0,16850,16700,2
484080,2.9,25462.0,13600,12600,3
95116,4.3,8343.0,25900,26800,2
251166,1.9,33445.0,13400,10200,3
446207,3.8,64419.0,9575,9600,3
206596,4.4,18248.0,28500,29800,1
373852,3.5,171549.0,3125,2500,6
280688,4.2,83627.0,3275,4200,11
491876,3.7,35429.0,13200,12900,1
348542,3.4,22194.0,11500,11000,1
790,4.8,14910.0,30700,31500,2
90410,4.3,42175.0,19600,21400,2
380880,1.9,156600.0,4450,3400,6
166529,4.3,26009.0,18900,19000,1
253796,2.8,115525.0,8350,8000,4
388015,4.3,34112.0,7925,8600,6
270606,4.3,13942.0,22100,22400,1
24330,4.2,34721.0,11950,11750,3
5443,2.1,12644.0,29800,22750,0
256624,2.4,138273.0,2150,1200,17
94745,4.5,19518.0,17450,17500,1
53223,3.7,58178.0,14450,15700,3
326626,4.2,13953.0,17250,16700,3
239164,4.6,29069.0,18850,19700,1
539026,2.4,142908.0,5375,4900,9
83177,3.5,74697.0,5525,6600,7
291946,4.0,28997.0,16800,16500,1
309561,3.8,19359.0,22300,19400,2
415288,2.0,16308.0,13800,10500,1
400683,3.6,24064.0,13750,12700,2
406408,4.8,21579.0,22100,21700,2
61887,3.5,45672.0,11600,11750,2
541421,2.4,69034.0,16650,12400,7
49814,2.9,87328.0,9225,11500,7
125034,2.9,17276.0,13350,11800,3
451731,4.1,223178.0,3175,4000,12
413309,3.3,40283.0,9925,9900,1
59512,4.3,101990.0,9475,9000,4
151769,4.8,24604.0,31500,32250,3
532523,2.0,86089.0,9450,9300,4
128227,4.0,56866.0,12050,14300,7
453719,4.0,133136.0,3400,4700,12
376580,3.9,32257.0,15450,14600,3
197627,3.0,126738.0,8075,9400,4
551,3.5,49188.0,17150,18000,1
550082,2.5,30187.0,21500,18700,2
106370,3.4,43415.0,26100,10700,3
424853,3.9,45642.0,11050,13000,3
296413,4.1,30456.0,20200,19900,1
195913,1.9,45348.0,21500,17900,3
192173,3.0,68113.0,9025,10100,4
268265,1.0,158099.0,1900,650,15
474226,3.5,55200.0,12450,12300,2
474020,3.4,101411.0,9725,8600,4
187765,2.9,53147.0,2350,2800,14
384957,4.4,24734.0,30100,30300,1
362049,3.5,36048.0,12100,11400,2
362066,4.0,20365.0,13100,13000,2
223152,2.0,162944.0,4700,3100,8
339876,2.7,10982.0,11100,10000,0
204947,4.1,17008.0,18000,17800,1
2145,4.1,43064.0,20600,20500,1
370748,1.9,168232.0,1600,1000,16
36955,2.5,125303.0,3975,3800,7
246804,3.7,114439.0,2125,2600,13
342511,1.9,80727.0,9425,9200,6
221319,4.7,11667.0,9575,10900,3
139891,4.2,43737.0,14400,14400,1
278381,3.0,49210.0,10050,10400,2
355496,5.0,8198.0,28600,31500,2
326895,4.9,1465.0,18800,18800,1
519142,3.2,21836.0,17000,14800,2
328511,3.6,36478.0,11850,10700,3
271345,4.0,45452.0,12650,13000,2
238417,3.9,120645.0,14800,14950,9
256779,3.5,32490.0,11800,11500,3
470930,4.7,99649.0,7325,8100,2
492084,4.6,31668.0,11800,12700,3
471267,4.1,58121.0,22300,25000,4
540198,4.5,38700.0,18500,19200,0
104581,2.0,118610.0,2675,1400,11
112710,2.5,109137.0,7200,8800,11
545766,3.7,68647.0,24200,25000,4
424506,1.9,215523.0,9875,5600,7
185610,2.2,97841.0,22400,20800,5
315671,2.5,44150.0,11100,10100,5
278767,3.7,50267.0,11500,11400,3
83018,4.1,49162.0,20800,22100,4
96600,4.3,21619.0,38900,42250,2
350956,1.9,45287.0,18350,15750,5
1387,2.2,49618.0,21300,18800,2
10640,2.7,132324.0,3450,3200,9
173990,3.9,29421.0,14600,14000,3
197089,3.5,47396.0,3850,12100,11
524545,2.0,88407.0,2300,1500,11
245475,2.5,94935.0,6825,7000,7
74246,1.9,309258.0,375,1500,8
67549,3.5,18178.0,19950,21000,2
367625,1.0,97725.0,2075,550,13
463022,4.2,24415.0,22300,21500,1
366578,3.8,76030.0,8775,9900,8
524284,,113390.0,6550,6000,7
87510,3.5,87287.0,12600,12700,4
220210,1.9,187334.0,1050,550,14
113176,3.2,16535.0,23100,18750,2
68230,4.2,76287.0,8375,8400,3
448325,2.1,143070.0,1725,2100,13
336086,4.2,8526.0,12600,13600,1
359699,4.4,57437.0,12850,13100,4
323196,4.0,28414.0,12650,12700,3
219349,5.0,22684.0,24000,24500,2
439121,3.5,100184.0,7150,7100,7
288051,4.3,15813.0,30500,31200,2
368287,3.5,16371.0,32200,30000,2
49461,4.5,9521.0,125000,114000,2
444438,1.9,140600.0,6025,5500,7
527144,4.3,31222.0,13150,11800,3
128832,1.9,107347.0,2275,1200,10
214072,4.8,23743.0,24900,26000,2
178278,4.3,68478.0,7950,8600,4
331665,3.3,112559.0,9050,10000,9
293410,3.7,33740.0,41700,41600,2
538824,3.4,135806.0,2875,4500,11
176249,1.9,34410.0,11900,10500,1
379964,3.4,98884.0,16650,15800,7
494014,2.2,87002.0,3900,2700,8
71744,3.1,57508.0,14000,12250,8
193914,3.2,84707.0,32100,24000,3
193006,3.2,28309.0,27800,27750,3
426246,4.4,49504.0,17900,19400,2
192124,3.1,72103.0,12250,11200,3
199105,4.3,24385.0,17650,17800,2
404653,3.5,61296.0,12450,11900,2
414490,3.5,83048.0,7475,9000,3
536154,2.2,129369.0,1175,1150,10
252747,4.0,11523.0,15150,14700,1
344128,2.8,168854.0,4275,5000,8
289541,4.5,20588.0,17850,20600,3
528368,3.2,33402.0,24700,23200,3
49932,3.3,97872.0,10550,10600,9
62312,4.3,32168.0,26100,25750,2
196299,4.3,8787.0,12750,12400,1
215090,4.2,35384.0,21000,22400,3
544544,3.5,36262.0,41000,41500,1
538930,4.7,50528.0,6250,10200,8
387281,2.6,104131.0,6775,4900,4
447633,2.5,110096.0,5975,5000,7
